"FullPath","Name","Extension","SizeKB","Created","Modified","Accessed","Directory","SuspiciousExt","Hidden"
"C:\Users\Nebula\AppData\Local\Temp\f993eaaf-530f-418c-b6e2-384e8474b2c4.tmp","f993eaaf-530f-418c-b6e2-384e8474b2c4.tmp",".tmp","0","4/12/2026 18:34:53","4/12/2026 18:34:53","4/12/2026 18:34:53","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Local\Temp\f2b807bd-8fb2-4de1-83da-b8423240ea51.tmp","f2b807bd-8fb2-4de1-83da-b8423240ea51.tmp",".tmp","0","4/12/2026 18:34:48","4/12/2026 18:34:48","4/12/2026 18:34:48","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Local\Temp\f2b807bd-8fb2-4de1-83da-b8423240ea51.tmp","f2b807bd-8fb2-4de1-83da-b8423240ea51.tmp",".tmp","0","4/12/2026 18:34:48","4/12/2026 18:34:48","4/12/2026 18:34:48","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\fcache","fcache","","10.13","3/21/2026 18:27:22","4/12/2026 18:34:29","4/12/2026 18:34:29","C:\Users\Nebula\AppData\Roaming\Claude","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\config.json","config.json",".json","1.78","4/12/2026 18:34:28","4/12/2026 18:34:28","4/12/2026 18:34:28","C:\Users\Nebula\AppData\Roaming\Claude","False","0"
"C:\ProgramData\AMD\PPC\driverworkloadstats.csv","driverworkloadstats.csv",".csv","24.46","7/22/2025 17:57:50","4/12/2026 18:33:55","4/12/2026 18:33:55","C:\ProgramData\AMD\PPC","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\SOC-101.vmdk","SOC-101.vmdk",".vmdk","39276096","1/20/2026 18:59:51","4/12/2026 18:33:34","4/12/2026 18:11:54","C:\Users\Nebula\Documents\Virtual Machines\SOC-101","False","0"
"C:\Users\Nebula\AppData\Local\Temp\df51feee-8e6e-49fa-8833-5fa9a2a46652.tmp","df51feee-8e6e-49fa-8833-5fa9a2a46652.tmp",".tmp","0","4/12/2026 18:29:01","4/12/2026 18:29:01","4/12/2026 18:29:01","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Local\Temp\df51feee-8e6e-49fa-8833-5fa9a2a46652.tmp","df51feee-8e6e-49fa-8833-5fa9a2a46652.tmp",".tmp","0","4/12/2026 18:29:01","4/12/2026 18:29:01","4/12/2026 18:29:01","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Local\Temp\a240f143-e37b-4beb-a26a-ba1a3ba8b874.tmp","a240f143-e37b-4beb-a26a-ba1a3ba8b874.tmp",".tmp","0","4/12/2026 18:26:22","4/12/2026 18:26:22","4/12/2026 18:26:22","C:\Users\Nebula\AppData\Local\Temp","False","0"
