"DisplayName","Direction","Action","Profile","Description"
"Wallpaper Engine UI","Inbound","Allow","Domain, Private, Public",
"Wallpaper Engine UI","Inbound","Allow","Domain, Private, Public",
"OneNote for Windows 10","Outbound","Allow","Domain, Private, Public","OneNote for Windows 10"
"OneNote for Windows 10","Inbound","Allow","Domain, Private","OneNote for Windows 10"
"?Torrent (TCP-In)","Inbound","Allow","Any","Allow ?Torrent network traffic with Edge Traversal"
"?Torrent (UDP-In)","Inbound","Allow","Any","Allow ?Torrent network traffic with Edge Traversal"
"OBS Studio","Inbound","Allow","Domain, Private, Public",
"OBS Studio","Inbound","Allow","Domain, Private, Public",
"@{MicrosoftWindows.56978801.Voiess_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.56978801.Voiess/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.56978801.Voiess_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.56978801.Voiess/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.57058570.Speion_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57058570.Speion/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57058570.Speion_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57058570.Speion/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.57074904.InpApp_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074904.InpApp/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57074904.InpApp_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074904.InpApp/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.57074914.Livtop_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074914.Livtop/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57074914.Livtop_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074914.Livtop/Resources/ProductPkgDisplayName}"
"Logi Options+ Agent","Inbound","Allow","Any","Logi Options+ Agent"
"Logi Options+ Agent","Inbound","Allow","Any","Logi Options+ Agent"
"DaVinciResolve","Inbound","Allow","Private",
"DaVinciResolveBmdpaneld","Inbound","Allow","Private",
"DaVinciResolvePanel","Inbound","Allow","Private",
"DaVinciResolveJLCooper","Inbound","Allow","Private",
"DaVinciResolveEuphonix","Inbound","Allow","Private",
"DaVinciResolveTangent","Inbound","Allow","Private",
"DaVinciResolveElements","Inbound","Allow","Private",
"DaVinciResolveFuScript","Inbound","Allow","Private",
"Widgets Platform Runtime","Outbound","Allow","Domain, Private, Public","Widgets Platform Runtime"
"Toolkit","Inbound","Allow","Public","Toolkit"
"Toolkit","Inbound","Allow","Public","Toolkit"
"Cyberpunk 2077","Inbound","Allow","Private, Public","Cyberpunk 2077"
"Cyberpunk 2077","Inbound","Allow","Private, Public","Cyberpunk 2077"
"MSN Weather","Outbound","Allow","Domain, Private, Public","MSN Weather"
"MSN Weather","Inbound","Allow","Domain, Private","MSN Weather"
